"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","82","5002.7333","51","24","7","43","109","0.665","4719","4522","51.07","3578","3360","51.57","2458","2367","50.94","228","221","50.78","223.11","208.64","51.68","2257","2074","52.11","1300","1237","51.24","185","180","50.68","14.23","85.45","895","844","51.47","659","623","51.40","122","123","49.80","18.51","80.26","1362","1230","52.55","641","614","51.08","63","57","52.50","9.83","90.72","2126","2069","50.68","1058","1011","51.14","34","37","47.89","3.21","96.34","9.28","90.66","0.999"
"2","Arizona Coyotes","82","4995.4333","24","50","8","19","56","0.341","4619","5061","47.72","3385","3790","47.18","2393","2722","46.78","165","267","38.19","197.23","234.01","45.74","1983","2369","45.57","1138","1444","44.07","136","216","38.64","11.95","85.04","796","1003","44.25","567","756","42.86","80","151","34.63","14.11","80.03","1187","1366","46.49","571","688","45.35","56","65","46.28","9.81","90.55","2201","2341","48.46","1128","1192","48.62","28","44","38.89","2.48","96.31","6.90","90.19","0.971"
"3","Boston Bruins","82","5025.3167","41","27","14","37","96","0.585","4817","4420","52.15","3550","3373","51.28","2546","2449","50.97","209","201","50.98","199.24","186.91","51.60","2039","1937","51.28","1239","1211","50.57","154","158","49.36","12.43","86.95","820","722","53.18","606","554","52.24","109","106","50.70","17.99","80.87","1219","1215","50.08","633","657","49.07","45","52","46.39","7.11","92.09","2404","2163","52.64","1174","1126","51.04","49","37","56.98","4.17","96.71","8.21","91.79","1.000"
"4","Buffalo Sabres","82","4989.9833","23","51","8","15","54","0.329","3446","5629","37.97","2640","4096","39.19","1984","2921","40.45","153","269","36.26","161.01","246.57","39.50","1576","2573","37.99","1015","1520","40.04","126","217","36.73","12.41","85.72","760","1012","42.89","609","750","44.81","95","145","39.58","15.60","80.67","816","1561","34.33","406","770","34.52","31","72","30.10","7.64","90.65","1585","2623","37.67","900","1337","40.23","25","49","33.78","2.78","96.34","7.71","90.79","0.985"
"5","Carolina Hurricanes","82","4999.0167","30","41","11","25","71","0.433","4848","4311","52.93","3549","3221","52.42","2524","2237","53.01","183","219","45.52","223.59","202.61","52.46","2172","2053","51.41","1247","1196","51.04","142","182","43.83","11.39","84.78","894","884","50.28","644","631","50.51","94","135","41.05","14.60","78.61","1278","1169","52.23","603","565","51.63","48","47","50.53","7.96","91.68","2271","1922","54.16","1213","973","55.49","37","32","53.62","3.05","96.71","7.25","90.21","0.975"
"6","Columbus Blue Jackets","82","4998.1167","42","35","5","33","89","0.543","4215","4747","47.03","3190","3667","46.52","2366","2742","46.32","227","248","47.79","202.69","233.14","46.51","2057","2227","48.02","1293","1445","47.22","180","206","46.63","13.92","85.74","887","904","49.53","699","727","49.02","130","141","47.97","18.60","80.61","1170","1323","46.93","594","718","45.27","50","65","43.48","8.42","90.95","1871","2170","46.30","1020","1211","45.72","43","40","51.81","4.22","96.70","9.59","90.96","1.005"
"7","Calgary Flames","82","4990.9667","45","30","7","41","97","0.591","4387","4995","46.76","3142","3438","47.75","2252","2392","48.49","237","213","52.67","200.7","208.34","49.07","2025","2217","47.74","1229","1289","48.81","192","175","52.32","15.62","86.42","812","875","48.13","614","651","48.54","125","110","53.19","20.36","83.10","1213","1342","47.48","615","638","49.08","67","65","50.76","10.89","89.81","2018","2292","46.82","965","1008","48.91","39","34","53.42","4.04","96.63","10.52","91.10","1.016"
"8","Chicago Blackhawks","82","4994.1833","48","28","6","39","102","0.622","5109","4316","54.21","3713","3276","53.13","2777","2477","52.85","220","186","54.19","225","204.62","52.37","2333","1989","53.98","1418","1286","52.44","173","154","52.91","12.20","88.02","919","894","50.69","723","698","50.88","117","111","51.32","16.18","84.10","1414","1095","56.36","695","588","54.17","56","43","56.57","8.06","92.69","2342","1985","54.13","1306","1130","53.61","45","29","60.81","3.45","97.43","7.92","92.49","1.004"
"9","Colorado Avalanche","82","5014.8833","39","31","12","29","90","0.549","4087","5182","44.09","3053","3791","44.61","2286","2719","45.67","209","223","48.38","181.7","237.83","43.31","1834","2344","43.90","1158","1412","45.06","160","173","48.05","13.82","87.75","750","998","42.91","577","747","43.58","113","121","48.29","19.58","83.80","1084","1346","44.61","581","665","46.63","47","52","47.47","8.09","92.18","1867","2339","44.39","1019","1219","45.53","45","41","52.33","4.42","96.64","9.14","91.80","1.009"
"10","Dallas Stars","82","4977.6333","41","31","10","37","92","0.561","5104","4708","52.02","3749","3461","52.00","2558","2454","51.04","257","257","50.00","237.69","222.1","51.70","2501","2209","53.10","1428","1325","51.87","215","211","50.47","15.06","84.08","997","912","52.23","695","672","50.84","136","146","48.23","19.57","78.27","1504","1297","53.70","733","653","52.89","79","65","54.86","10.78","90.05","2147","2057","51.07","1032","1036","49.90","35","40","46.67","3.39","96.14","10.05","89.53","0.996"
